id;start_date;end_date;language
1;2019-10-21T13:20:47;2019-10-21T06:29:04;FRENCH
2;2019-10-21T14:50:52;2019-10-20T23:57:02;FRENCH
3;2019-10-21T10:22:57;2019-10-21T01:46:57;ENGLISH
4;2019-10-20T23:34:48;2019-10-21T07:01:50;ENGLISH
5;2019-10-21T08:33:27;2019-10-21T13:17:36;ENGLISH
6;2019-10-21T14:50:28;2019-10-21T16:07:24;FRENCH
7;2019-10-21T00:12:48;2019-10-21T12:53:34;FRENCH
8;2019-10-20T21:44:06;2019-10-21T05:44:15;FRENCH
9;2019-10-21T07:32:12;2019-10-21T15:56:51;SPANISH
10;2019-10-21T10:50:22;2019-10-21T08:06:37;SPANISH
